phenotype	YPD_growth
A02_52	22.90087215
A02_46	22.90388727
A02_25	22.92108459
A11_95	22.92768572
A08_50	22.92770296
A09_63	22.93637089
A03_04	22.94465102
A01_61	22.95144988
A07_38	22.95270244
A09_18	22.96332693
A01_13	22.96707034
A11_49	22.97893077
A11_39	22.98245042
A02_54	22.9827408
A10_72	22.98562314
A03_40	22.99008471
A11_53	22.99736099
A08_78	23.0090766
A06_21	23.01219771
A05_05	23.01749899
A02_76	23.02106806
A06_94	23.0222786
A11_41	23.03207283
A03_48	23.03659887
A06_57	23.04268999
A08_42	23.05024723
A01_55	23.05186996
A02_83	23.0536819
A07_10	23.05718236
A11_03	23.06488199
A01_95	23.07947345
A05_64	23.08176842
A03_90	23.0847643
A03_70	23.08790261
A04_20	23.08967403
A11_87	23.09121739
A10_44	23.10575586
A09_05	23.10947381
A08_90	23.11131953
A05_16	23.11633605
A09_40	23.11740855
A01_39	23.1186681
A11_91	23.12589873
A01_83	23.1265071
A03_86	23.13323142
A03_94	23.13744513
A04_85	23.14251254
A01_25	23.14351169
A10_66	23.14977912
A09_60	23.15320119
A02_13	23.1550529
A10_18	23.16221269
A05_71	23.16694689
A01_41	23.17129582
A07_91	23.18458455
A04_56	23.18859463
A01_09	23.19553678
A10_09	23.21463072
A04_78	23.21640419
A08_38	23.21646305
A06_76	23.22648797
A02_79	23.2458531
A07_95	23.24733618
A11_37	23.25325976
A01_63	23.25779579
A02_81	23.25954013
A10_40	23.2620358
A11_51	23.26762671
A10_86	23.26839078
A06_17	23.27706496
A06_25	23.28661115
A05_81	23.30012121
A09_42	23.30567486
A07_26	23.30756147
A09_32	23.3313115
A10_30	23.33331506
A08_74	23.33566413
A03_68	23.34525389
A05_50	23.34793535
A02_62	23.35801879
A07_18	23.36971538
A04_95	23.38894835
A06_50	23.39568121
A01_31	23.40879271
A01_43	23.42222951
A08_70	23.42346035
A09_22	23.42406046
A09_70	23.42807613
A11_47	23.43345206
A11_55	23.43712359
A05_95	23.43852305
A09_20	23.43974778
A06_73	23.44596835
A08_22	23.44627846
A01_87	23.44960844
A08_66	23.45940789
A08_40	23.46687192
A04_24	23.4674
A09_80	23.47436879
A09_28	23.47793225
A01_85	23.48045464
A03_60	23.49093134
A06_63	23.49503811
A08_84	23.49674312
A07_77	23.50447587
A05_35	23.5063722
A01_35	23.52256598
A08_46	23.53137162
A01_03	23.53881031
A05_12	23.54746251
A01_89	23.55872204
A10_68	23.56710606
A08_86	23.57094205
A07_81	23.57677717
A08_76	23.57802475
A07_34	23.57876746
A01_93	23.57949682
A02_30	23.59203101
A07_54	23.60775986
A04_05	23.61348805
A10_34	23.6189336
A01_17	23.63885173
A06_90	23.63992325
A03_34	23.64730272
A04_03	23.65255906
A01_47	23.65311749
A07_04	23.66363802
A06_96	23.67146626
A02_96	23.67560843
A07_46	23.67735436
A10_80	23.6857054
A06_42	23.69193391
A03_52	23.69234839
A06_52	23.69561426
A05_08	23.69822547
A01_53	23.707026
A05_87	23.74134546
A07_75	23.74221751
A01_07	23.74852611
A03_02	23.75697431
A05_03	23.77020359
A08_28	23.77215423
A09_58	23.78734108
A02_86	23.7890889
A09_50	23.7974669
A02_01	23.79764367
A07_44	23.80167678
A01_70	23.80432722
A05_41	23.80544798
A09_46	23.80558164
A10_62	23.80973874
A10_91	23.811383
A09_36	23.81581278
A06_29	23.81631246
A06_48	23.83186952
A03_18	23.83666932
A08_36	23.83955767
A01_74	23.8426584
A11_43	23.84459949
A11_79	23.85024118
A03_56	23.85439006
A09_24	23.86704485
A08_32	23.8688095
A04_87	23.8725248
A02_44	23.89630741
A09_16	23.89907514
A04_36	23.9006905
A07_93	23.91639087
A09_52	23.9295329
A11_71	23.92994036
A08_64	23.93665872
A04_26	23.95671061
A08_88	23.96281848
A01_37	23.96529017
A10_04	23.98100893
A07_32	23.98953552
A02_33	24.0043903
A05_39	24.01474168
A09_38	24.02088705
A08_72	24.03458804
A08_58	24.04566097
A06_88	24.06073791
A05_26	24.06931808
A11_31	24.07807172
A03_80	24.09607585
A10_76	24.09895819
A11_09	24.11047053
A06_05	24.11117957
A10_58	24.12135616
A07_71	24.13295566
A01_65	24.13648982
A03_50	24.13701968
A01_67	24.13975174
A08_94	24.17371683
A02_64	24.17913304
A08_82	24.18056873
A10_60	24.18300031
A10_93	24.19411972
A08_24	24.19535082
A03_06	24.20284984
A05_77	24.2071359
A10_38	24.20779062
A03_54	24.24871007
A05_24	24.25966317
A02_41	24.2622429
A01_91	24.27624014
A04_18	24.29326131
A03_32	24.29616605
A10_06	24.29961312
A02_15	24.34679553
A10_42	24.35485826
A08_48	24.35625982
A04_91	24.40182954
A10_54	24.41641954
A08_30	24.42817718
A07_67	24.44862352
A04_82	24.44937911
A09_88	24.45557226
A09_68	24.45716999
A08_06	24.46125463
A11_25	24.48147128
A09_94	24.49178893
A03_44	24.49819423
A04_11	24.49857102
A04_46	24.50064371
A05_10	24.51186829
A05_62	24.5207287
A09_30	24.52076902
A08_34	24.52940327
A06_78	24.54327788
A07_52	24.54384745
A07_61	24.55218761
A07_65	24.5528976
A10_52	24.55477816
A11_11	24.555102
A04_89	24.56124176
A08_04	24.57638365
A06_80	24.5960093
A01_79	24.60586609
A05_89	24.61418598
A02_07	24.61483721
A07_12	24.6345232
A11_89	24.64121178
A02_35	24.64388942
A06_46	24.6520105
A06_86	24.65213284
A09_78	24.65303837
A11_29	24.66822326
A08_20	24.67000859
A03_64	24.67321588
A11_15	24.67475779
A03_78	24.67845583
A10_20	24.69553703
A03_38	24.69601906
A04_01	24.70704212
A08_92	24.7079058
A10_84	24.71464446
A02_70	24.75571616
A06_69	24.76369519
A07_30	24.7642404
A01_23	24.7741716
A04_28	24.8017559
A11_65	24.81043067
A02_50	24.81335231
A10_70	24.83147498
A03_84	24.8396301
A03_22	24.84330202
A02_92	24.85606778
A04_40	24.85737777
A07_28	24.86457093
A10_22	24.87833466
A07_87	24.89293471
A06_03	24.90153465
A05_57	24.90487519
A06_38	24.9051407
A01_21	24.90752859
A11_33	24.94558592
A05_85	24.95022551
A01_27	24.96028135
A05_66	25.01984963
A07_08	25.03961667
A06_27	25.06494723
A09_54	25.12790512
A09_96	25.16476006
A03_20	25.1742708
A06_13	25.17695989
A05_53	25.17904826
A06_67	25.18018184
A06_19	25.18820549
A02_56	25.20370291
A01_72	25.21480542
A09_72	25.23001205
A07_20	25.23759046
A07_22	25.25773607
A06_31	25.27566384
A11_77	25.27869197
A09_48	25.29453677
A07_85	25.29925134
A10_36	25.30880906
A08_08	25.32552756
A11_61	25.35299473
A04_07	25.35657134
A10_24	25.36069148
A08_02	25.3983989
A10_95	25.40076441
A02_21	25.43202399
A01_57	25.45332367
A01_59	25.50902412
A07_06	25.52143355
A03_26	25.5230563
A04_44	25.63421652
A08_18	25.63784663
A01_01	25.67872328
A09_86	25.67982198
A07_89	25.69913282
A06_40	25.70289346
A06_59	25.76944535
A11_19	25.77530598
A03_36	25.79297397
A07_50	25.84180156
A11_35	25.84761943
A10_28	25.90424746
A06_01	25.96035614
A06_65	25.97050418
A07_40	25.97681186
A09_09	26.02114152
A07_36	26.03849342
A01_11	26.06321103
A01_05	26.0853115
A09_44	26.22600867
A07_83	26.29758288
A06_92	26.33404812
A06_15	26.45041243
A05_28	26.45795698
A01_33	26.45859415
A06_35	26.73557123
A01_29	26.83468293
A02_39	27.0856263
A06_71	27.23353191
A10_64	27.73471164
