ID_STRAIN	YPDCAFEIN50_40h
BLQ	0.018526373
BLR	0.07679338
BLS	0.063641975
BLT	0.11372265
BLV	0.029961537
BMA	0.282548595
BMB	0.268524197
BMC	0.07086985
BMD	0.271314862
BME	0.049259398
BMF	0.254803702
BMG	0.272525353
BMH	0.349673318
BMI	0.108127113
BMK	0.3210379
BML	0.357947245
BMM	0.044589754
BMQ	0.146293109
BMR	0.138358139
BMV	0.214206309
BNA	0.144858551
BNB	0.170179276
BNC	0.271121699
BND	0.204252027
BNE	0.05156981
BNF	0.099781389
BNG	0.053419314
BNH	0.032364461
BNI	0.018503423
BNK	0.073010142
BNL	0.142916768
BNM	0.062523762
BNN	0.117546381
BNP	0.125824962
BNQ	0.091442787
BNR	0.098464185
BNT	0.063416129
BNV	0.129579308
BPA	0.071189403
BPB	0.023442997
BPC	0.172763535
BPF	0.119222935
BPG	0.151815507
BPH	0.147508194
BPI	0.133906504
BPK	0.115718353
BPL	0.231408441
BPM	0.030116465
BPN	0.179317904
BPP	0.068029648
BPQ	0.090032729
BPT	0.154043505
BPV	0.1475118
BQA	0.109129758
BQB	0.18167767
BQC	0.098554141
BQE	0.056338897
BQG	0.02061303
BQH	0.080784676
BQI	0.125733115
BQM	0.114476251
BQN	0.076469717
BQP	0.108436682
BQQ	0.08254778
BQR	0.121741181
BQS	0.072465564
BQT	0.044398859
BRA	0.077941188
BRB	0.103037235
BRC	0.084664507
BRD	0.097346403
BRE	0.084364991
BRF	0.077397326
BRG	0.07086752
BRH	0.046594314
BRK	0.120223919
BRL	0.082760914
BRM	0.003141831
BRP	0.026828156
BRQ	0
BRV	0.125942072
BSA	0.103742439
BSB	0.16380997
BSC	0.079380551
BSD	0.058178094
BSE	0.048362663
BSG	0.068154288
BSI	0.057092006
BSK	0.105075876
BSL	0.091181394
BSM	0.095289
BSN	0.102321923
BSP	0.066179124
BSR	0.177530267
BSS	0.25320532
BST	0.055841587
BTA	0.069380191
BTC	0
BTD	0.0568682
BTE	0.030167561
BTF	0.087030662
BTG	0.070407611
BTH	0.062679162
BTI	0.124380072
BTL	0.087186758
BTN	0.050338161
BTP	0.259419364
BTR	0.306586411
BTS	0.060899525
BTT	0.115866651
BTV	0.212248709
BVA	0.043332869
BVB	0.029815633
BVC	0.019508238
BVD	0.113131341
BVE	0.177963334
BVF	0.06649353
BVG	0.078380544
BVH	0.004353697
BVK	0.078650781
BVM	0.075810712
BVT	0.08292399
BVV	0.067730416
CAA	0.088775153
CAB	0.122785073
CAC	0.106847687
CAD	0.106244514
CAE	0.069321155
CAF	0.045421387
CAH	0.073224183
CAI	0.095252648
CAK	0.083614807
CAL	0.134475753
CAM	0.114372319
CAN	0.10483262
CAP	0.108702171
CAQ	0.131840534
CAR	0.08149367
CAS	0.077616685
CAT	0.044959875
CAV	0.07129379
CBA	0.119263264
CBB	0.052365239
CBC	0.117673582
CBE	0.083409707
CBG	0.133161957
CBH	0.101441902
CBI	0.051576391
CBK	0.039409564
CBL	0.108174953
CBM	0.109390495
CBN	0.031320945
CCC	0.254291481
CCD	0.172178767
CCE	0.21370577
CCF	0.25079437
CCG	0.213225255
CCH	0.24525902
CCL	0.143439935
CCM	0.0437921
CCN	0.231264425
CCP	0.318423814
CCQ	0.441832619
CCR	0.441851951
CCS	0.346520282
CCT	0.475317449
CCV	0.38111888
CDA	0.166873618
CDB	0.378857026
CDC	0.238970785
CDD	0.258964086
CDE	0.248370662
CDF	0.396957708
CDG	0.373095678
CDH	0.30294115
CDI	0.411737391
CDK	0.074786665
CDL	0.454898128
CDM	0.268688535
CDN	0.091322773
CDP	0.555426165
CDQ	0.462696109
CDR	0.042722466
CDS	0.106079652
CDT	0.178012516
CDV	0.121997745
CEA	0.141461873
CEB	0.214416681
CEC	0.165573937
CED	0.104741138
CEE	0.060478078
CEF	0.17627271
CEG	0.411036411
CEH	0.580806129
CEI	0.399275306
CEK	0.117608525
CEL	0.260778282
CEM	0.110171626
CEN	0.040473302
CEP	0.362716973
CEQ	0.245345402
CER	0.120231894
CES	0.073427592
CET	0.069074671
CEV	0.025429529
CFA	0.205815258
CFB	0.055715698
CFC	0.130427066
CFD	0.02748401
CFE	0.233537473
CFF	0.134411797
CFM	0.052505459
CFQ	0.081180057
CFR	0.059569133
CFS	0.042700717
CFT	0.042461179
CFV	0.076442427
CGB	0.289557136
CGC	0.021136313
CGD	0.20405961
CGE	0.1523061
CGG	0.139927756
CGH	0.082059794
CGI	0.05164445
CGK	0.210279147
CGL	0.549623467
CGN	0.109673066
CGP	0.106568508
CGQ	0.190387996
CGR	0.074314554
CGT	0.205286534
CGV	0.27903538
CHA	0.171003617
CHB	0.184514891
CHC	0.210939371
CHD	0.187506247
CHE	0.226328355
CHF	0.107333912
CHG	0.048499712
CHH	0.105064116
CHI	0.229984688
CHK	0.221871159
CHL	0.104070907
CHM	0.160573278
CHN	0.104739676
CHP	0.119761819
CHQ	0.36835522
CHR	0.051776536
CHS	0.069924714
CHT	0.172405999
CHV	0.073084675
CIA	0.074359813
CIB	0.076168603
CIC	0.167546886
CID	0.138553686
CIE	0.062876369
CIF	0.233120591
CIG	0.126893721
CIH	0.037859202
CII	0.136350116
CIK	0.182925736
CIL	0.24943431
CIM	0.053495917
CIN	0.060683184
CIP	0.035929735
CIQ	0.086783676
CIR	0.069696622
CIV	0.075984147
CKA	0.44309952
CKB	0.064234128
CKC	0.088377518
CKD	0.097348605
CKE	0.050628596
CKF	0.062164619
CKG	0.087502648
CKH	0.09597713
CKI	0.053456467
CKK	0.021397544
CKL	0.087905692
CKM	0.086240406
CKN	0.328138776
CKP	0.085132717
CKQ	0.084806258
CKR	0.256516689
CKT	0.056001031
CLA	0.045702179
CLB	0.290060164
CLD	0.276600177
CLG	0.280477787
CLH	0.107440705
CLI	0.004206731
CLK	0.018219655
CLL	0
CLM	0.038686483
CLN	0.110463602
CLP	0.004591837
CLQ	0.070865392
CLR	0.001961883
CLS	0.042071943
CLT	0
CLV	0
CMB	0.021785263
CMC	0.008255669
CMD	0.009259259
CMF	0.029803072
CMG	0.015684082
CMH	0.043178365
CMI	0.06594032
CMK	0.027804851
CML	0.013252714
CMM	0.013701266
CMN	0.031516131
CMP	0.332558169
CMQ	0.322311469
CMS	0.519199479
CMT	0.01849642
CNB	0.092780934
CNC	0.338488398
CNE	0.105033072
CNF	0.155287835
CNG	0
CNH	0.018856998
CNI	0
CNK	0.046562633
CNL	0.103859336
CNM	0
CNN	0.137489378
CNP	0
CNQ	0.328122446
CNR	0.01300905
CNS	0.100877382
CNT	0.167535902
CNV	0.350110226
CPA	0.406816241
CPB	0.061524215
CPC	0.164989336
CPD	0.093365675
CPE	0.296209874
CPF	0.096916311
CPG	0.145731635
CPI	0.141899364
CPK	0.119937514
CPL	0.158866445
CPM	0.166113734
CPN	0.24588714
CPQ	0.229835456
CPR	0.198321056
CPS	0.133228956
CPT	0.28893705
CQB	0.222461506
CQC	0.21323609
CQD	0.273972905
CQE	0.417704725
CQF	0.348597741
CQH	0.333079878
CQK	0.361660699
CQL	0.319794842
CQM	0.319200609
CQN	0.358122756
CQP	0.238726578
CQQ	0.005767524
CQR	0.015652378
CQS	0.271198371
CQT	0.044194177
CQV	0.059096088
CRA	0.07231339
CRB	0.095905972
CRC	0.054635074
CRD	0.067547829
CRE	0.060479976
CRG	0.079905158
CRH	0.07485233
CRI	0.062734651
CRK	0.065127704
CRL	0.040227098
SACE_GAL	0.090811289
SACE_GAP	0.129801415
SACE_GAS	0.266021867
SACE_GAT	0.303495868
SACE_GAV	0.00731383
SACE_MAA	0.397523966
SACE_MAL	0
SACE_YAA	0.111966272
SACE_YAB	0.12902845
SACE_YAC	0.247764019
SACE_YAD	0.032157492
SACE_YAE	0.090724588
SACE_YAF	0.108990841
SACE_YAG	0.061393681
SACE_YAK	0.238793997
SACE_YAM	0.156521676
SACE_YAN	0.534451689
SACE_YAP	0.117836169
SACE_YAQ	0.135500894
SACE_YAR	0.305932798
SACE_YAT	0.118695204
SACE_YAU	0.298649003
SACE_YAV	0.14494385
SACE_YAW	0.122234884
SACE_YAX	0.126436994
SACE_YAY	0.226373458
SACE_YAZ	0.057343603
SACE_YBE	0.105504051
SACE_YBF	0.12506497
SACE_YBG	0.121294516
SACE_YBH	0.104361372
SACE_YBJ	0.060307646
SACE_YBK	0.098973395
SACE_YBL	0.184990755
SACE_YBQ	0.3264898
SACE_YBR	0.221504133
SACE_YBS	0.627481541
SACE_YBT	0.214647068
SACE_YBU	0.073986605
SACE_YBV	0.178933899
SACE_YBW	0.338220782
SACE_YBX	0.181127091
SACE_YBY	0.120503661
SACE_YBZ	0.421356378
SACE_YCA	0.093299764
SACE_YCB	0.2125618
SACE_YCC	0.08972164
SACE_YCD	0.093867372
SACE_YCE	0.260614325
SACE_YCF	0.097066782
SACE_YCG	0.076727116
SACE_YCI	0.056082868
SACE_YCK	0.205927337
SACE_YCL	0.368086367
SACE_YCM	0.24721259
SACE_YCN	0.058800635
SACE_YCO	0.538886174
SACE_YCP	0.049193502
SACE_YCQ	0.218071582
SACE_YCR	0.536295077
SACE_YDM	0.183967727
SACE_YDN	0.095643957
SACE_YDO	0.13221583
