experiment	cell_type
DC.IIhilang.103.11b..SLN.3	DC
DC.IIhilang.103.11blo.SLN.1	DC
DC.IIhilang.103.11blo.SLN.2	DC
DC.IIhilang.103.11blo.SLN.3	DC
DC.IIhilang.103.11b..SLN.1.1	DC
DC.IIhilang.103.11b..SLN.2.1	DC
DC.IIhilang.103.11b..SLN.3.1	DC
DC.IIhilang.103.11blo.SLN.1.1	DC
DC.IIhilang.103.11blo.SLN.2.1	DC
DC.IIhilang.103.11blo.SLN.3.1	DC
DC.8..Sp.ST.7	DC
DC.8..Sp.ST.8	DC
DC.8..Sp.ST.9	DC
DC.4..Sp.ST.4	DC
DC.4..Sp.ST.8	DC
DC.4..Sp.ST.9	DC
DC.8..SLN.1	DC
DC.8..SLN.2	DC
DC.8..SLN.3	DC
DC.4..SLN.1	DC
DC.4..SLN.2	DC
DC.4..SLN.3	DC
DC.8..MLN.1	DC
DC.8..MLN.2	DC
DC.8..MLN.3	DC
DC.4..MLN.1	DC
DC.4..MLN.2	DC
DC.4..MLN.3	DC
DC.8.4.11b..MLN.3	DC
DC.8.4.11b..MLN.1	DC
DC.8.4.11b..MLN.3.1	DC
DC.8.4.11b..Sp.1.1	DC
DC.8.4.11b..Sp.2.1	DC
DC.8.4.11b..MLN.6	DC
DC.8.4.11b..SLN.2	DC
DC.8.4.11b..SLN.3.1	DC
DC.8.4.11b..MLN.4	DC
DC.8.4.11b..MLN.5	DC
DC.103.11b..Lv.1	DC
DC.103.11b..Lv.2	DC
