orf	mRNA	Protein	Length	dN	CAI
YGR010W	49.32901056	37776252.89	1188	0.027499929	0.1464
YHR068W	821.8318753	4169398035	1164	0.027600101	0.4194
YBR038W	74.96360459	110759000.4	2892	0.027800101	0.1725
YOR039W	216.5292268	282265037.6	777	0.027999971	0.1501
YNL037C	296.6826221	2559486280	1083	0.028099914	0.2658
YOL061W	369.392657	1638260957	1491	0.028099986	0.1924
YNL075W	231.437713	898808300.9	873	0.028200094	0.1631
YPR069C	522.8217842	4620510299	882	0.028200105	0.3599
YGL011C	367.123375	2633355021	759	0.02820013	0.1779
YCR072C	208.36194	668871154.3	1548	0.028299922	0.1688
YOR357C	142.9656235	519130153.8	489	0.028299947	0.1211
YER086W	363.1074686	1966965228	1731	0.028299982	0.3115
YER043C	1114.589789	19188565074	1350	0.028300011	0.6409
YGL019W	191.8093066	424461522.5	837	0.028300097	0.1255
YOL143C	680.8898205	931453613.9	510	0.028300156	0.2111
YDR339C	239.8470139	648425710	570	0.02839993	0.1541
YOR150W	199.1598138	471589655.7	492	0.028400033	0.145
YHR107C	140.5858246	1730576701	1224	0.028400036	0.1922
YER081W	234.8607957	2713074233	1410	0.028499945	0.3276
YNL255C	866.3650929	2587504934	462	0.028699902	0.4206
YDL217C	77.25717914	228204375.1	624	0.028800009	0.1041
YKR035W-A	189.4724016	892218481.7	615	0.028800048	0.1286
YDR158W	1237.379334	8381172670	1098	0.02890013	0.4315
YAL036C	373.5000397	1508122254	1110	0.029100021	0.239
YGR135W	607.7767268	1337625328	777	0.029100065	0.182
YKL080W	738.8798297	3523996601	1179	0.029499966	0.2364
YPR052C	758.7100387	334254881.8	282	0.029499988	0.3513
YML121W	145.7676568	253949219.8	933	0.02969998	0.1232
YGL008C	3758.992118	24141522102	2757	0.029900137	0.7336
YOR341W	305.1712956	6224631932	4995	0.030200073	0.2794
YJL140W	281.0240908	1299786302	666	0.030300161	0.1369
YDR001C	157.3425061	903159028.1	2256	0.030400023	0.1682
YPR156C	60.88997143	458534813.2	1869	0.03040007	0.2608
YML069W	282.3275231	1229556329	1659	0.030599917	0.1933
YGL115W	199.1581613	1118568555	969	0.030600052	0.1602
YDR190C	353.2829942	2119245155	1392	0.030800161	0.1898
YOR224C	585.4844592	269299218.7	441	0.030900106	0.2457
YKR001C	224.6543397	5858226356	2115	0.031099982	0.2494
YLR262C	164.7080678	984148047	648	0.031100021	0.1611
YPL122C	108.0691425	375908027.1	1542	0.031299898	0.1721
YKL046C	311.7273911	71577195.85	1350	0.031300008	0.2109
YNR037C	185.8828942	749170000	276	0.031499997	0.0882
YPL262W	273.9280813	3106219974	1467	0.031500031	0.2534
YAL012W	973.3165013	4902769585	1185	0.03169998	0.4203
YDR392W	75.15238921	122673963.5	1014	0.031700029	0.1354
YLR009W	332.9867322	1157561115	600	0.031700129	0.3837
YPR160W	199.1230943	1137987707	2709	0.031800039	0.2485
YDL014W	1078.870748	6856646300	984	0.031899994	0.4922
YOR370C	275.5523695	1139200753	1812	0.032099949	0.1538
YER178W	979.1051381	3674895215	1263	0.032099961	0.2965
YER052C	366.3296938	3448073239	1584	0.032100008	0.2577
YHR072W-A	1354.46618	2474306555	177	0.032199958	0.3659
YOL094C	91.49480946	1457606007	972	0.032300054	0.152
YHR025W	756.9558351	980495665	1074	0.032400094	0.2708
YBL023C	71.08234919	205459412.8	2607	0.032900012	0.175
YHR074W	135.1784595	805707663	2145	0.032900046	0.1717
YIL021W	271.8843508	338431917.3	957	0.032900065	0.1667
YMR055C	38.02810237	16810220	921	0.033100049	0.0926
YGR116W	144.4146826	3126814742	4356	0.033200009	0.2184
YPL028W	1055.219973	5579377587	1197	0.033200157	0.3665
YCL055W	205.7216323	25461727.25	1008	0.03330015	0.1667
YPL145C	280.4918826	6087783818	1305	0.033399991	0.2548
YDL205C	96.77720162	860030659.1	984	0.033400093	0.1836
YKL148C	129.6558472	2291469082	1923	0.033500134	0.2454
YLR197W	846.0141481	8921473220	1515	0.033599998	0.3696
YNL191W	66.07538079	103738934.7	1074	0.033600001	0.156
YLR249W	3624.348296	42195131456	3135	0.03360003	0.7775
YML120C	86.22196171	1540718321	1542	0.033700035	0.1904
YGR284C	247.8540361	577893818	933	0.033700076	0.2355
YML126C	693.0107505	8222209924	1476	0.033700081	0.4008
YLR438C-A	370.1339004	182996727.5	270	0.033799931	0.0711
YOR374W	296.8593127	4476543624	1560	0.033999935	0.2838
YLR268W	177.8148203	827950212.3	645	0.034100035	0.1892
YIL094C	716.488764	2280910911	1116	0.034300138	0.3139
YCL009C	612.0474219	577333385.8	930	0.034499975	0.2421
YDL215C	131.0445678	550287688.8	3279	0.034700099	0.2082
YOL040C	4577.68701	8566717179	429	0.034700109	0.7686
YMR241W	430.1140674	3151826974	945	0.035100113	0.3278
YKL113C	162.254063	330410533.9	1149	0.035299984	0.1596
YIL074C	189.2221297	2660617029	1410	0.035500019	0.2368
YJL130C	788.0349849	13592379277	6645	0.035500051	0.2856
YMR308C	562.5290405	1291010892	3270	0.03550006	0.1803
YAL054C	35.61895919	2802519.016	2142	0.03550008	0.2553
YGL022W	334.7294418	602202451	2157	0.035600012	0.2141
YPL237W	810.4859951	4046554508	858	0.035600045	0.2855
YNR032C-A	169.1560032	384793839.1	222	0.035900091	0.1236
YIL143C	90.00141865	118978478.6	2532	0.035999934	0.1833
YHL031C	116.0371468	587487461.6	672	0.036100006	0.1184
YAR007C	130.086407	1655711356	1866	0.036199941	0.2064
YGR132C	276.7226721	1336158731	864	0.036199972	0.2229
YOR298C-A	1312.697033	7760625253	456	0.036200039	0.2727
YGL206C	249.80453	8723761313	4962	0.036299923	0.2665
YNR032W	86.54140162	54346623.17	1107	0.036399995	0.1345
YGL253W	2144.013464	13935381193	1461	0.036499952	0.6432
YPR103W	708.9508805	868241415.9	864	0.036500037	0.2098
YER099C	140.0234203	480678650	957	0.036500057	0.1327
YHR018C	495.3365557	5541776738	1392	0.036500071	0.23
YIL125W	138.1806395	1977791799	3045	0.036500102	0.2328
YKL085W	465.3977453	4196416072	1005	0.036600099	0.3132
YKL126W	193.2886221	923806243.7	2043	0.036800108	0.1714
YHR208W	900.09526	10013039466	1182	0.03690012	0.3477
YGR005C	138.5963721	1010609221	1203	0.03700008	0.1824
YDR429C	839.3986142	1389621163	825	0.037099992	0.2494
YOL123W	382.7386776	1754192497	1605	0.037100108	0.2434
YNL222W	94.76745111	87962142.93	621	0.037200035	0.1546
YJR139C	947.8160703	11286169102	1080	0.037300005	0.4673
YIL109C	287.9458744	3107118458	2781	0.037399966	0.2125
YOR157C	348.7716097	1040944363	786	0.037399998	0.1785
YKL120W	592.9115538	1662465228	975	0.037500128	0.1872
YGR037C	1029.328785	4380015521	264	0.0376001	0.3604
YNL007C	820.0875749	5166180667	1059	0.037800071	0.1613
YNL064C	1118.833298	8975314574	1230	0.03780012	0.3727
YOR259C	430.2109186	1869462861	1314	0.037900047	0.2077
YKL216W	1196.0232	3596652984	945	0.03800002	0.2247
YOL058W	605.4044968	12348479425	1263	0.038100039	0.4028
YBR249C	765.8336692	5916276797	1113	0.038199924	0.5267
YKR002W	147.8086211	706274753.5	1707	0.038399915	0.1579
YDR079W	110.1299524	145123508.8	336	0.038500035	0.1014
YBL075C	33.36542941	1301494969	1950	0.038500061	0.177
YPR166C	183.6372919	414703428.6	348	0.038600017	0.1618
YER070W	398.1454017	3393538142	2667	0.038600029	0.3124
YCR053W	755.3136605	11537455021	1545	0.038700122	0.4039
YAL016W	313.0116984	1792587974	1908	0.03870015	0.1766
YHR170W	334.0880778	1171331846	1557	0.038800065	0.2443
YDR328C	743.3940586	699245346.4	585	0.039200046	0.1933
YML078W	425.0980868	4129998336	549	0.039300004	0.308
YNR052C	217.5565884	408545643.2	1302	0.039300041	0.1178
YMR015C	225.9054197	2148146338	1617	0.039600032	0.3632
YER103W	108.0413322	662284281.1	1929	0.039700019	0.1843
YOR375C	903.9578645	15457701941	1365	0.039700134	0.5858
YIL118W	264.4514955	1211497220	696	0.039800073	0.1818
YKR043C	424.5977137	418596333	816	0.04000005	0.1927
YNL010W	626.1330384	5644842962	726	0.040099965	0.3674
YDR399W	928.1802285	952721307	666	0.040200135	0.2864
YDL017W	44.82406559	453226406.1	1524	0.040300091	0.1304
YOR244W	112.42954	80104690.67	1338	0.040399999	0.1492
YJL121C	308.2776067	1725655437	717	0.040500053	0.2966
YMR309C	312.7540553	5651333818	2439	0.040500068	0.3099
YPL010W	512.3320063	976136572.7	570	0.040500132	0.1871
YNL229C	188.2175716	585289701.7	1065	0.040600075	0.1249
YBL064C	162.8846543	957695495.1	786	0.04070013	0.2056
YOR094W	121.6369233	420500152.6	552	0.041099925	0.125
YBR121C	892.5537792	15325387429	2004	0.041099988	0.414
YFR015C	144.7999331	332062530.3	2127	0.041099994	0.1884
YHR007C	1387.017947	3677279326	1593	0.041200071	0.5065
YDR448W	121.1449864	136117944.2	1305	0.041300176	0.1193
YBR039W	382.6111314	5027487771	936	0.041400175	0.3374
YOL097C	592.9494326	4496220334	1299	0.041499999	0.2859
YER107C	199.2705114	326987393.3	1098	0.041700151	0.1093
YMR297W	702.0698653	973638781	1599	0.041800093	0.2567
YPL204W	301.8124237	819791055.4	1485	0.041800163	0.1611
YDR486C	110.6558563	86944471.56	690	0.041900068	0.1361
YLR005W	142.0618683	558890292.1	1386	0.042000086	0.1448
YNL287W	300.8250579	2559728150	2808	0.042100025	0.2384
YAR018C	50.44343	213604142.9	1308	0.042100199	0.138
YKR062W	111.0566639	1053849178	987	0.042200041	0.2085
YLR262C-A	1137.608188	1534027662	195	0.042400096	0.3419
YKL029C	351.6115115	1881751841	2010	0.042400141	0.2306
YMR290C	242.0355403	2818803072	1518	0.04249999	0.225
YNL061W	260.640155	2427150634	1857	0.042700152	0.2537
YNL104C	686.4934339	1993730223	1860	0.042900128	0.2924
YHR190W	351.6084622	4254991398	1335	0.042900193	0.2968
YER012W	417.7552438	1624054465	597	0.043099997	0.204
YIL066C	48.44944865	212765426.8	2610	0.043100005	0.2899
YMR093W	174.10376	802140255.6	1542	0.043200055	0.1477
YER095W	143.9837205	153751059.8	1203	0.043400093	0.1725
YDR086C	953.6669797	2222687363	243	0.043799926	0.4414
YBL030C	1046.534617	7102442088	957	0.043800092	0.5384
YIL035C	251.6600726	896862568.7	1119	0.044000026	0.1784
YGR204W	648.6321284	8552384054	2841	0.044000047	0.2769
YJR072C	238.0121973	857645399.3	1158	0.044000204	0.1712
YOR128C	444.3545975	578785295.5	1716	0.044099986	0.1788
YFL045C	1448.310893	8674123585	765	0.044100069	0.5398
YJR076C	172.542417	1047706491	1248	0.044200049	0.1737
YPL203W	87.96500757	55424411.28	1143	0.044400183	0.1538
YPL106C	1011.3943	22758803707	2082	0.044500015	0.5214
YKL203C	75.34219294	147585319	7425	0.044500051	0.152
YPL154C	919.684025	1897821025	1218	0.044600084	0.3549
YKL060C	14600.34085	45996898703	1080	0.044899962	0.8687
YKL004W	449.4784134	1393118633	1206	0.045000196	0.1442
YIL002C	51.77013838	24523614.89	2841	0.045200073	0.116
YEL039C	67.121658	342787034.6	342	0.04529994	0.183
YMR242C	1779.042396	1646739381	537	0.045400033	0.7182
YDL001W	57.89526667	168393869	1293	0.04569993	0.1401
YHR013C	144.7437046	804350768.9	717	0.045700198	0.1755
YEL031W	354.8173434	3202408534	3648	0.046199929	0.2574
YKL210W	476.3174429	6454627813	3075	0.046200135	0.2122
YOR002W	213.2291343	16292700.29	1635	0.046499929	0.1118
YKL189W	68.74533865	186220037	1200	0.046700048	0.1536
YOR270C	979.9703726	2065409385	2523	0.046700136	0.3032
YGR032W	127.3796287	71570889.44	5688	0.047000088	0.2067
YIL084C	33.70190919	37607359.75	984	0.04700021	0.175
YGL112C	134.3618146	432618647.3	1551	0.047100093	0.1469
YNL154C	252.2099587	612296239.3	1641	0.047199938	0.1735
YGR074W	140.3444697	261992989.7	441	0.047200037	0.1262
YKR080W	485.0573679	1068369398	963	0.047200038	0.1936
YIR031C	51.30547	23218000.17	1665	0.047400099	0.2014
YCR084C	249.7836339	1654705037	2142	0.047600073	0.1809
YDR353W	1082.51127	8165125551	960	0.047600161	0.3154
YNR003C	106.475494	1850879949	954	0.047699961	0.1405
YBR251W	79.12687111	1149142972	924	0.047700186	0.1377
YER023W	543.5033614	4647659025	861	0.047799962	0.2103
YKL117W	921.5346584	1252407865	651	0.047800213	0.2804
YMR108W	481.0918082	8975025414	2064	0.048000049	0.2641
YGL234W	681.2783997	2284832881	2409	0.048000182	0.2576
YLR432W	647.8615617	8560982333	1572	0.048000184	0.4642
YHR049W	394.4535468	3293666630	732	0.04830001	0.3814
YIL075C	455.4311234	2891136896	2838	0.048499977	0.1757
YFR050C	409.7317237	842561063	801	0.048499981	0.1477
YJL167W	619.4859281	9500625636	1059	0.048500069	0.3733
YER044C	245.2722714	821335892.1	447	0.048599972	0.3528
YGR020C	772.2460303	998632306.5	357	0.048699939	0.2985
YDR372C	223.6146784	1003802025	1038	0.048699987	0.1828
YDR308C	135.5330071	91215398.5	423	0.048799991	0.1437
YOR226C	248.5006867	21878464.73	471	0.048900033	0.1389
YIR022W	251.9515478	250835786.8	504	0.049000079	0.1649
YHR169W	149.8957859	634214231.6	1296	0.049300127	0.1392
YNR034W	54.5791927	353045687.4	966	0.049300208	0.1207
YBR263W	388.8450251	4499004489	1473	0.049399997	0.285
YBL076C	609.8101539	11110957745	3219	0.049400076	0.3425
YLR340W	4185.301487	13715132884	939	0.049500191	0.7938
YGL001C	241.3625447	1903839743	1050	0.049799921	0.2036
YDL100C	474.2257714	3758993725	1065	0.049800023	0.3222
YJR010W	48.69205395	2001768760	1536	0.049800091	0.2938
YHL033C	1975.13808	4138248439	771	0.049800105	0.8416
YCR073W-A	265.4734489	175309582.7	948	0.049900008	0.1157
YPR100W	251.6680991	393133718.4	423	0.049900143	0.126
YPR019W	93.23426053	900592892.6	2802	0.050100065	0.1772
YJL133W	148.2578209	125009033	945	0.050199968	0.0832
YBR029C	151.6415349	3385015696	1374	0.050200034	0.1685
YCR034W	454.9495509	261969565.5	1044	0.050200149	0.2389
YNL014W	23.39991636	1302053.24	3135	0.050400053	0.1694
YKL009W	778.0358908	3431683689	711	0.050599986	0.2788
YMR161W	120.1648289	758686847	675	0.05109998	0.133
YER090W	249.8638208	4608827687	1524	0.051100066	0.2163
YGL194C	37.67059833	16166573.35	1359	0.05120008	0.1228
YMR197C	106.2158971	363563659	654	0.051500079	0.1104
YJL062W-A	253.815465	776769159.6	258	0.051500203	0.1056
YDR477W	149.3500119	1441157430	1902	0.051599901	0.1878
YOR052C	184.5676676	459066277.1	453	0.051599947	0.1902
YDL006W	75.95351737	197612690.6	846	0.051699976	0.1195
YEL036C	268.6602817	965438904.2	1503	0.051800185	0.1569
YBR085C-A	342.0178889	1155641908	258	0.052000086	0.1804
YGL099W	142.004583	1162710871	1923	0.052200013	0.2047
YPR024W	112.3367624	1262564925	2244	0.052299932	0.1799
YJR135W-A	290.08049	149071353.5	264	0.05230007	0.219
YBR283C	684.0209425	2166164236	1473	0.052300113	0.27
YKL067W	572.9027381	1639508188	462	0.052500071	0.2292
YJR068W	140.1117027	1070473507	1062	0.052600017	0.1765
YFL028C	146.7269847	778221518.4	870	0.052600077	0.1735
YNR036C	324.4001668	907245154.8	462	0.052800057	0.0933
YDL201W	176.6220686	1379215471	861	0.052899956	0.1896
YOL038W	499.2231245	1551202957	765	0.052999977	0.1561
YPL135W	411.4367976	476835012.3	498	0.053000078	0.1536
YDL145C	362.5509076	3075176410	3606	0.053100163	0.2371
YML064C	120.0935343	157706526.3	738	0.053100213	0.074
YPL023C	130.9597617	1433534286	1974	0.053299974	0.1437
YIL041W	451.9906708	4859746177	981	0.053300099	0.2387
YBR054W	130.3786592	104027489.4	1035	0.053300227	0.4569
YKR081C	363.2896094	2131257613	1035	0.053400033	0.221
YDR487C	339.2061335	584945178.8	627	0.0534999	0.1975
YGR231C	318.1859278	2228017145	933	0.053600065	0.1651
YKL008C	471.3162379	50872807.55	1257	0.053700092	0.1948
YNL117W	9.0883725	2878578.641	1665	0.053799993	0.222
YOR361C	525.0115616	5314818218	2292	0.054100191	0.3039
YBR222C	117.0868421	965171976.3	1632	0.054300115	0.1971
YNL200C	102.5947338	345197563.2	741	0.054300191	0.1309
YPR094W	135.2982011	302805000	324	0.054400149	0.1044
YGR209C	2029.962173	4472134211	315	0.05449997	0.4247
YIL033C	174.9333019	3696408922	1251	0.054499993	0.1782
YGL055W	841.7045861	1894843481	1533	0.054600163	0.5431
YDR062W	426.1554471	1718238176	1686	0.054600229	0.2169
YDR432W	456.0653917	1236397369	1245	0.054700118	0.3595
YPL091W	386.5330689	2967028639	1452	0.054800079	0.2178
YPR036W	748.1056055	4056486973	1437	0.055099915	0.1931
YOR262W	100.2858311	411960936.3	1044	0.055200199	0.1391
YGL238W	193.9693711	670412197.5	2883	0.055300174	0.1885
YDR189W	149.9114146	1075202755	2001	0.055400048	0.1879
YLR328W	100.4879973	571790381.6	1206	0.055400084	0.2092
YOL129W	483.4838276	59720670.06	555	0.055400211	0.1188
YDL072C	493.6748246	1761363491	612	0.055500223	0.1762
YKL003C	185.2701719	303659714.3	396	0.055800073	0.1153
YGR094W	653.1033226	16780045773	3315	0.055900019	0.3694
YJL085W	51.56888853	366281406.7	1872	0.055900023	0.1558
YPR056W	104.1596645	155479325.8	1017	0.055900083	0.1231
YPL231W	638.6020375	38285306808	5664	0.056000152	0.4106
YKL041W	98.18969026	340429369.8	675	0.0561002	0.1344
YGL105W	802.1316782	7464694011	1131	0.056299956	0.3882
YJR117W	312.8238197	1530151031	1362	0.056400099	0.2677
YNL123W	256.6199218	1342689067	2994	0.056599905	0.1783
YBR125C	105.6455575	317898893.6	1182	0.05670007	0.129
YBR202W	122.5722103	273902879.9	2538	0.056899975	0.1731
YNR050C	485.9665629	1525273930	1341	0.056900134	0.3321
YCL054W	231.3935238	1316261453	2526	0.057100071	0.2526
YOR173W	54.04710382	617589548	1194	0.057100093	0.1567
YDL051W	435.8635167	842908595.4	828	0.057499961	0.2499
YFR010W	253.3116226	2435534321	1500	0.057600133	0.2077
YDR529C	465.2094761	793828250.9	384	0.057900008	0.1974
YBR111C	471.418085	847877693.2	696	0.058099885	0.2473
YHR069C	176.1259126	513759706.9	1080	0.058100108	0.1323
YDL147W	411.0808378	3181155645	1338	0.058200077	0.1721
YLR348C	298.9756489	703006257	897	0.058299943	0.1285
YHR037W	122.3600911	1370951602	1728	0.058300214	0.1782
YHR104W	152.3778371	3113049946	984	0.058399994	0.2256
YOR261C	388.7892139	1664693815	1017	0.058400148	0.1942
YBR002C	124.3544097	207938918	861	0.058700038	0.1087
YHR064C	845.3534894	13605273975	1617	0.058700149	0.4549
YDL111C	183.6995337	374633977	798	0.058800019	0.1164
YAL048C	28.02080556	149732442.9	1989	0.058800129	0.1445
YDR384C	256.1212889	27047178.53	828	0.058800225	0.1268
YLR209C	106.4522024	471479889.1	936	0.059199903	0.1347
YPL002C	74.7566873	26850760	702	0.059300086	0.1229
YLR386W	55.35062324	226488212.2	2643	0.059500041	0.1354
YJL111W	315.90719	4362589915	1653	0.059600137	0.192
