individual	Lactate	Lactose	Maltose	Mannose
A02_59	1.150129511	2.458189192	-2.922189365	0.293151917
A02_60	-3.378892599	-2.535152539	2.487248323	-1.847176974
A02_61	1.250911214	0.63656331	-5.299849365	0.523291156
A02_62	1.835960863	8.454665179	3.835343033	0.136899875
A02_63	2.460128715	1.633400192	4.594999737	-0.624245628
A02_64	-0.153211106	-0.666399314	-6.017703424	-0.103680821
A02_65	-0.31281319	-0.767502384	-4.625250664	0.258223662
A02_66	-2.429756055	-4.812846142	2.828325476	0.370310268
A02_67	-2.114281335	-2.151721522	1.219087464	0.037116494
A02_68	-2.323994293	-3.26198208	-2.184740138	-1.92170932
A02_69	-0.197583132	0.225758124	2.886704254	-0.733704585
A02_70	0.166591981	0.597884287	-6.528070522	0.456921278
A02_71	0.000249199	0.869165282	-6.249749925	-0.46898297
A02_72	-1.833838974	-1.67514158	-5.766621581	-1.513207665
A02_73	-0.741216512	-2.163979354	2.443538509	-0.463017464
A02_74	0.323773297	0.43623875	2.141099618	-0.177349544
A02_75	-0.454218105	-0.398537855	1.649015769	0.253078078
A02_76	2.293875795	-0.091535003	3.66742195	-1.444882061
A02_78	-0.995519309	-0.162053796	3.011989766	-0.115345372
A02_79	-0.463559075	-0.367361244	-6.272873038	-1.57120252
A02_80	-2.388665928	-2.564380913	-6.805168087	-0.985568498
A02_81	1.336434716	0.630760653	-3.899042204	1.103774006
A02_82	0.336328246	1.38522335	3.849142949	0.244905263
A02_83	-0.049285584	0.922511143	0.33365363	0.495984879
A02_84	-0.102716105	0.619603047	4.169724713	-0.306718991
A02_86	1.676860177	0.563583461	-3.980102177	-0.97288101
A02_87	0.531553696	-0.292875581	-6.500274103	1.081352974
A02_88	1.453099026	1.409126807	4.337907297	1.056872033
A02_89	1.290871825	1.689266382	4.434306265	0.977673931
A02_90	-2.125612169	-2.891733585	-5.520491648	0.102892103
A02_91	0.198425654	-0.100985175	-4.817923864	1.704649263
A02_92	-0.286108819	-1.781643412	0.356393684	-2.960583294
A02_93	1.134911581	0.448674507	2.923327579	0.616107583
A02_94	-0.016044829	0.614934415	1.731966697	-2.011238009
A02_95	0.919430154	0.534084513	2.626105954	0.801304782
A02_96	0.918017384	0.04006434	-4.411560614	0.459503993
A03_01	-0.120906884	-1.68074663	-6.208036877	0.974324532
A03_02	0.80380943	0.448685144	4.039083221	2.6159093
A03_03	2.534530689	2.584456413	1.225570397	1.700011871
A03_04	-1.375958038	-0.886663085	1.533335837	-0.068544214
A03_05	-1.576265813	-1.844930338	-7.127032278	-1.339667693
A03_06	-0.613266019	3.466517707	1.10596852	-0.695024134
A03_07	-0.87129714	-0.906510894	1.115936578	0.552274227
A03_08	0.468577095	-0.689294939	-4.84101422	0.253468812
A03_09	-0.70265051	-1.515121594	2.831865	-0.611369771
A03_10	0.896408082	1.951354668	2.290725762	0.335616325
A03_11	0.344528808	1.486945768	-3.819139002	-0.968563081
A03_12	-0.451833156	-1.32147367	2.852315512	-0.799267085
A03_13	-0.954343836	-1.434613758	3.24325339	-0.319322395
A03_14	-0.471627511	-2.512996978	-3.792156821	-1.783054412
A03_15	-0.495405513	0.012676082	0.830799373	0.859369235
A03_16	2.299880237	1.893750638	-3.713557799	-0.889677467
A03_17	0.100416276	0.470367688	2.597222229	0.72901605
A03_18	1.112319118	1.328923853	-3.762012129	0.303505129
A03_19	-1.526289301	-2.311801625	0.389719415	-0.52399064
A03_20	-0.085022232	-0.262189906	-4.975159381	-0.459994322
A03_21	-1.131082736	-1.556291948	2.518755141	-0.927446093
A03_22	-1.092267737	0.320841741	2.885398853	-0.965807249
A03_23	1.604741776	1.219505765	-2.959085085	1.150126545
A03_24	-0.509079122	0.118498723	-4.556549738	-1.326152773
A03_25	0.408355838	-0.591859609	1.256206241	-1.716139673
A03_26	0.483957937	1.493306589	1.223423519	-0.009056857
A03_27	0.860596774	0.588185104	5.687566272	1.512626162
A03_28	1.215676952	-0.88593058	-1.326249885	-2.612256376
A03_29	0.044255105	0.066467669	-0.205481644	-1.012323202
A03_30	0.009982557	-1.502741977	-4.381152482	1.257485146
A03_31	-0.122485302	-0.476624164	-5.406394092	0.467865642
A03_32	-1.938203177	-2.730734639	1.548099767	-0.033997764
A03_33	0.400465308	-1.498740469	-3.895357831	-0.141745873
A03_34	-0.017417179	0.080244146	2.270627177	0.203451928
A03_35	3.533199755	2.974580077	2.414963115	2.065556962
A03_36	-2.959137637	-3.72136618	-1.115350005	-1.902812394
A03_37	-3.13547676	-2.864021042	-8.952665024	0
A03_38	-0.446565433	-0.293316892	3.180330183	0.328563055
A03_39	-1.786073844	-2.2211924	0.983876835	0.845889165
A03_40	0.48360836	0.519646451	2.701081777	-1.260072592
A03_41	-2.592879851	-1.308142247	1.460712523	0.153658945
A03_42	-0.414718741	-0.191514457	1.914885435	-0.425550814
A03_43	0.311016731	0.513803099	2.929369617	-0.190875236
A03_44	-0.544121669	-1.439304891	0.217727819	-1.616182756
A03_45	1.848780029	2.427076687	4.539778913	-0.083944018
A03_46	2.801922151	2.380757142	-3.539375293	-0.062026677
A03_47	-2.00388242	-3.343369958	0.057231026	-1.030546413
A03_48	-1.336552869	-1.54313907	2.817595372	-1.960575579
A03_49	-0.008387325	1.057520561	-1.495453787	0
A03_50	3.009522847	4.136333955	4.832448287	2.458829401
A03_51	-2.267120426	-2.556980173	-6.996034628	-0.702815346
A03_52	0.499813087	-0.61530936	2.904486466	-1.028631842
A03_53	-1.45369185	-1.5205904	-5.495413172	-1.678692939
A03_54	3.054785796	2.979826966	-3.231163303	1.626878157
A03_55	-1.069714694	-0.066297071	4.405276927	-0.315885503
A03_56	0.617179758	-0.130012428	-4.777089274	-0.286328273
A03_57	1.044122959	1.143445164	-3.770509223	1.39743315
A03_58	-3.158507377	0	-0.79202416	-1.313532848
A03_59	1.389558244	1.354934886	1.957708025	0.536069094
A03_60	1.218997661	0.5438331	1.448843222	-0.034620422
A03_61	-0.240170025	-0.013371	1.074295624	0.311482192
A03_62	0.412024266	-0.933850645	-5.443476516	-1.74533098
A03_63	-1.178197281	-0.878035151	-5.790878873	0.527071361
A03_64	1.134915428	1.210248857	3.362620322	0.90899785
A03_65	0.488729691	-0.288369539	1.600090025	-1.615679924
A03_66	-0.956858609	-0.676262311	1.583166321	-1.019095018
A03_67	0.40479885	0.82060746	3.103965891	-1.209231734
A03_68	2.257079656	2.010921885	-3.491894255	1.461990221
A03_69	1.702352878	7.561735497	1.413416396	0.576361298
A03_70	-1.241911581	-1.297080193	0.716178806	-1.983311273
A03_71	1.202735811	1.121117897	1.476555217	-1.257457869
A03_72	-1.835358022	-1.286959641	1.001970483	-1.1089051
A03_73	-2.748554064	-2.643534126	0.077293907	-0.509378869
A03_74	0.094996336	-0.578408379	1.443214789	0.060814673
A03_75	-1.475812582	-0.869051794	-6.052343115	1.298013316
A03_76	0.548935048	0.093886104	3.999503676	1.026613713
A03_77	1.208566591	0.974827497	6.419676739	1.382916934
A03_78	0.107861441	3.220380242	-5.381018251	-0.387941407
A03_79	-1.243529156	-1.874663423	-6.157757842	-0.278198543
A03_80	2.474423338	4.321725763	5.025796743	-0.824000691
A03_81	-0.075951618	0.082702523	2.453555675	0.350664391
A03_82	-1.533698916	-1.175654165	-0.39759288	-1.59309949
A03_83	-0.860327858	-0.708541806	-2.899091487	-0.018313098
A03_84	-0.015616801	-0.372149266	-6.985010979	-0.154018737
A03_85	0.418714188	1.43981124	-0.06445019	0
A03_86	-3.127651388	-3.425122391	0.773017673	0
A03_87	-1.030423395	-0.598787021	-0.195686748	-0.227366922
A03_88	1.208022197	-0.10973187	3.167044286	0.37576632
A03_89	-0.254111679	-0.412427241	-5.977452873	0
A03_90	0.427965955	1.803498972	-5.59597111	-0.165275261
A03_91	0.860546202	1.396508564	1.700094794	2.94721932
A03_92	-0.328378458	-0.979852409	0.079678486	1.66961322
A03_93	-0.05900708	-0.047253937	2.915399069	0
A03_94	-1.743932099	-2.018706905	1.485182195	0
A03_95	-0.756327987	-1.547252808	1.530728956	0
A04_01	0.262683317	-0.141347365	1.430324535	1.356341158
A04_02	1.614919195	2.043527364	1.82349028	-0.153630931
A04_03	-2.362575271	-4.120871024	-0.868702131	-0.491709063
A04_04	0.400603631	-0.009250479	-2.315814564	0.651422355
A04_05	-1.261308865	-1.983030683	-0.810576754	-1.624284613
A04_06	-2.313360354	-3.203949646	0.325299348	-0.11459303
A04_07	2.680986504	1.852428356	2.255793836	1.09233022
A04_08	-2.697513647	-3.680579767	-0.869337966	-2.096201574
A04_09	0.469944495	1.475983299	3.600463397	0.490592477
A04_10	-0.137870657	-0.388806795	-3.826606041	0.041844807
A04_11	1.742379286	2.053555317	4.186660621	1.229331798
A04_12	-0.792375921	-1.63391413	-5.609269999	0.625184908
A04_13	1.681942805	1.262295113	3.712115106	1.852177095
A04_15	1.528148705	1.324986617	1.132641908	0.476527711
A04_16	1.707455838	1.170879812	1.320942963	0.502494397
A04_17	1.398264191	0.60559342	-0.452407256	0.485607804
A04_18	-0.445285515	-0.368708294	2.34410205	-0.435804203
A04_19	-0.061342999	-1.439998837	1.882105677	-0.659352019
A04_20	-0.627367904	-1.25349943	1.095762548	-0.686877456
A04_21	-3.437782426	0	0.282213092	-0.940567007
A04_22	0.043597496	0.224540125	-3.084777632	-0.508550777
A04_23	-1.54151446	-0.976918355	2.292202981	-0.188087304
A04_24	-0.231083769	-1.725402872	0.370137712	-0.389552294
A04_25	-0.359586044	-0.847438734	0.696567924	-1.712471206
A04_26	0.788756119	1.805176739	3.254911535	0.836601861
A04_27	1.087036357	1.796052598	2.651315839	1.355368692
A04_28	-0.48099072	-1.752002826	-6.388195915	-1.737564912
A04_29	1.05114975	0.473514092	1.111811764	-0.983180801
A04_30	-1.027736204	-0.883165963	2.062169933	-0.197986985
A04_31	-1.154764748	-1.486866175	-1.209535396	0.135995999
A04_32	-0.521592322	0.89109474	-5.152618721	-0.26350937
A04_33	-0.597042119	-0.173155516	1.958977452	-0.28014155
A04_34	0.690172478	1.14343586	0.691731105	0.579962018
A04_35	-0.549102983	-1.089058675	-1.266346003	-2.339261755
A04_36	-0.124288036	-0.112959082	-4.421048867	0.220917512
A04_37	-1.532999268	-2.74130097	1.391968455	-1.557131926
A04_38	-0.027975768	1.002504561	1.905628601	-0.415388104
A04_39	-0.887993005	-0.356528749	-4.105973829	-1.375786663
A04_40	-0.941423089	-2.062901024	3.062265231	-0.343516594
A04_41	-0.911862284	0.174422397	-5.330134994	0.702008278
A04_42	-2.013670632	-3.586018562	-0.724554295	-2.155781055
A04_43	-1.270855599	-1.079326721	2.60001481	0.777025114
A04_44	-1.507911883	-2.652761595	1.159430883	-2.03879513
A04_45	-0.670964971	-0.279491484	3.202615913	-1.153504089
A04_46	-1.740358269	-2.825387735	-7.36525918	-0.706018204
A04_47	1.887452048	1.833345004	3.984165241	-1.11697448
A04_48	-0.180872761	0.178517137	-4.300303916	-1.427539341
A04_49	1.752755844	0.984449086	-1.278543436	0.847617364
A04_50	0.642662396	1.08322469	3.285791112	1.18523553
A04_51	-1.661796154	-2.770613922	-6.075763432	0.738944396
A04_52	-2.920524109	-3.915567965	-1.491302589	-1.571668844
A04_53	-1.015865537	-1.497851886	1.685334661	-0.399924899
A04_54	1.55015059	1.503068199	-3.941553454	0.725741378
A04_55	3.451505805	2.662052218	3.193114797	1.298535072
A04_56	-0.042656583	-1.131203196	4.348255484	1.062676558
A04_77	-1.035620724	-1.412895759	-4.770749037	0.896129087
A04_78	2.128887145	1.381144758	-3.445279849	1.471833683
A04_79	-2.270919258	-1.321922262	1.93645599	-1.876474594
A04_80	0.154989395	1.008712922	-3.847718059	0.605268655
A04_81	0.926873596	1.476693957	1.833390197	0.652025753
A04_82	0.138364444	0.090283914	1.622867977	0.017180725
A04_84	0.855005222	0.395325817	1.114947191	0.32922066
A04_85	1.615001573	2.244391997	2.892912788	0
A04_86	1.405259635	0.83546362	-5.039937474	0
A04_87	-1.928276798	-1.879017981	3.308063227	0
A04_88	-0.380320477	-0.091904162	1.915821849	0
A04_89	-0.621116693	-0.637833674	4.951188892	0
A04_90	0.501792563	0.925845808	2.81710966	0
A04_91	0.467363411	0.3057349	-4.884884674	0
A04_92	-1.902876513	-1.052811583	2.034207493	0
A04_93	-1.721225175	-2.858087212	-6.207309575	0
A04_94	-2.487257467	-2.498605065	0.797498316	-0.756660641
A04_95	0.038501603	-0.007596683	0.032286491	0
A04_96	0.565036146	0.10577509	0.788724833	0
A05_01	0	3.954859612	4.81582909	-0.366519904
A05_02	0.182537771	1.715663937	1.344928557	1.676940753
A05_03	-1.304743105	0.868188941	-0.468144674	1.197160176
A05_04	-1.304021484	-1.385292484	-0.22096381	-1.191134635
A05_05	-1.209052566	-0.998597985	0.466923914	0.084398232
A05_07	-0.20134181	1.100702701	2.233545267	0.122421525
A05_08	-0.387586305	-2.054698879	1.509702035	-0.688113831
A05_09	-0.461167548	-0.394690188	-5.603196581	-0.997993955
A05_10	-0.104427873	-1.543263951	-1.360313563	0.697150024
A05_11	-2.247149373	-2.513347448	0.28128479	-0.122571093
A05_12	-0.584814585	0.312467327	0	-0.981385387
A05_13	0.192717779	-0.227836611	2.097298113	0.233627996
A05_14	0.56331104	-0.83759341	4.219022376	1.148018426
A05_15	0.190671917	-1.151409219	1.058304432	-0.162160928
A05_16	-1.149216753	-2.018210151	-1.777261314	-0.333326922
A05_17	0.638688607	2.754991188	-4.268213415	-0.35139834
A05_18	2.228554771	2.225881724	0.804401914	1.436878522
A05_19	-0.166115129	0.727960203	-3.620642008	-1.762225234
A05_20	-1.296039343	-3.441801131	1.469748288	0.005669794
A05_21	-0.78903241	-0.013722088	2.67780599	0.920707328
A05_22	1.119702076	0.93846825	2.814376482	0.734580169
A05_23	0.646001681	1.130557331	-1.016940285	0.679370278
A05_24	1.324858273	1.18162343	1.259508321	1.509780024
A05_25	0	0.201519958	-6.280389029	0.214096123
A05_26	1.218825123	0.486897336	3.354656344	1.013837744
A05_27	-0.561527113	0.051492128	2.224306	-0.010688257
A05_28	-1.651086547	-1.758594976	-7.973463479	-0.347821872
A05_29	-0.254572212	-0.784111584	2.082141919	0.336102364
A05_30	-2.928188444	-2.843062961	0.330732166	-0.85694435
A05_31	-2.288111617	-2.989167576	-0.813447542	-1.015841301
A05_33	0.023473374	0.402066728	1.131134306	-0.169274037
A05_34	0.118326202	-0.147080442	0.870781717	-2.622122048
A05_35	1.759737417	2.381871721	-3.356700664	-0.21231182
A05_36	-0.049145848	-0.602088036	1.445017835	0.078897532
A05_37	0	-1.106867882	-0.044404999	-1.508827039
A05_38	-0.302764756	1.600253646	-0.772033711	0.600012295
A05_39	-1.45262668	-1.234870562	1.429901558	-1.311136697
A05_40	-1.979217642	-3.137096867	1.394972312	-0.343068062
A05_41	-1.312635187	-1.315955968	-1.218748398	0.273038361
A05_42	0.259498627	0.017095391	1.643649356	-0.594572891
A05_43	-0.883593479	-0.006459582	0.264123088	-1.689496264
A05_44	1.342930277	1.927620248	1.776214339	2.220399525
A05_45	1.079939954	0.89880552	4.496665856	1.514403511
A05_47	0.983993418	1.662447819	1.940591094	-0.783069676
A05_48	2.42125806	0.933451341	2.17545546	-2.00326318
A05_49	0	0.51681519	-1.327827711	1.056760026
A05_50	-0.221178317	0.142529322	2.56567383	0.249701368
A05_51	-0.520017932	-0.857490239	0.910785346	-0.532608541
A05_53	-1.011782133	-1.141154767	-0.993178289	-1.001953479
A05_54	1.927286964	2.026940489	0.74095061	0.74821861
A05_55	1.192929567	1.033545838	-5.276704635	0.655474014
A05_56	-1.151001895	-2.12240014	1.531190868	-2.273063259
A05_57	1.46837733	2.545637565	3.15923906	0.430846714
A05_59	-2.780211495	-3.25696096	-1.08089679	-2.098545974
A05_60	1.754477659	1.433105136	1.355834823	0.847123127
A05_61	0	-0.846743761	4.174795565	1.834571274
A05_62	0.053595695	-0.703010176	-5.767722434	0.11015484
A05_63	0.25521041	1.305118571	1.078438935	-0.696629577
A05_64	0.431968708	0.422467716	1.133664805	0.837123513
A05_65	1.571686211	0.780705171	-4.596734738	0.389365504
A05_66	0.340909296	0.165323174	2.252853466	-0.901494505
A05_67	1.654937179	1.659188272	4.109754014	1.145954334
A05_68	-1.304525035	-1.361344293	1.807951669	-0.639740605
A05_70	1.692512728	0.804233808	-4.362162843	1.059898704
A05_71	0.044255195	-0.861322335	1.381461848	-2.245754407
A05_72	-3.380959572	-3.797473874	-1.807935922	-1.095395969
A05_73	0	-0.445487251	0.022684611	2.45306598
A05_74	0.753994074	0.335021751	0.800364368	1.376948462
A05_75	0.320744067	1.315923656	2.216695608	0.387945706
A05_76	-0.540582937	-1.034421912	1.806640474	0.714514576
A05_77	1.477684843	1.444544051	2.119286164	0.250445189
A05_78	2.300807224	1.979153645	-5.136095247	0.623321893
A05_79	-1.099527988	-2.554765979	-0.405122428	-0.576318051
A05_80	-2.183372972	-2.755068754	1.584521607	-0.929527205
A05_81	-1.314255702	-1.525460322	2.851486686	0.816063123
A05_82	0.332796543	-0.577016867	-0.08475794	0.993106148
A05_83	-1.118713293	-0.892803087	1.093116188	-0.183705617
A05_84	0.224620045	-0.522712967	1.62382532	-0.214048039
A05_85	0	0	0	0
A05_86	0.681488168	0.119219754	0.237452426	0.461314572
A05_87	2.733625762	4.482739034	3.55164544	0.3418738
A05_88	0.834729975	0.069773937	-4.434671686	0.591108567
A05_89	1.494175982	1.987075865	-3.685214988	-1.321386876
A05_90	-0.817671823	-0.540714589	2.253946245	0.54275004
A05_91	-0.912373648	-0.66638118	2.482368613	0.757565873
A05_92	-1.017686553	-0.763586253	-5.668815844	-1.107899016
A05_93	-2.803420541	-3.734375402	1.076391295	-0.373601351
A05_94	-1.845208331	-2.104386183	-4.604698175	-1.324564797
A05_95	-0.289080313	0.187533706	-3.694482525	-0.267824728
A05_96	-0.300295298	0.890769814	3.26919084	0.107830767
A06_01	-0.082018969	-0.246629313	-4.753692639	-0.907466281
A06_02	-1.696943706	-2.928407325	1.898509566	-0.295143962
A06_03	1.908982062	1.197161499	-3.451666479	1.004818577
A06_04	2.12985082	2.035068615	1.534869782	1.084725265
A06_05	0.475970728	0.226988974	1.754809435	0.33372184
A06_06	2.257990081	2.689740757	0.807797472	1.525247767
A06_07	-4.138979252	-5.738192057	-7.109865865	-1.864315833
A06_08	0.730323325	-0.872653489	3.481581589	-1.877797965
A06_09	1.921912572	1.420914483	0.671701551	-0.907311463
A06_10	1.41746695	0.940747783	0.2132694	0.549204094
A06_11	0.461900313	2.416760113	0.413367778	-1.043423395
A06_12	0.856060874	0.217194019	2.7383142	-1.230239278
A06_13	1.974488564	1.156282642	4.529166744	0.911518866
